feature,importance
P_2_latest,0.1259234
B_1_latest,0.027411824
R_1_mean_6,0.013388958
B_2_latest,0.013231219
D_42_mean_12,0.009022248
P_2_min_6,0.00811422
D_44_mean_12,0.0063979006
R_1_latest,0.0058336053
D_43_mean_6,0.004332395
S_3_mean_12,0.004310277
D_49_min_6,0.0039889906
B_11_latest,0.0039661913
D_39_max_6,0.0039075394
P_2_mean_6,0.0038803539
B_9_latest,0.0038546738
R_2_latest,0.003749439
S_23_latest,0.003640499
D_56_max_12,0.0036322454
D_112_latest,0.0035310606
D_42_max_12,0.0034571823
B_38_4.0_RespRate_12,0.0034533127
D_39_latest,0.0033400746
B_8_min_12,0.0030130476
D_41_latest,0.0029255378
D_50_mean_6,0.0028971233
R_3_mean_12,0.0027761643
D_50_latest,0.002705025
B_23_latest,0.0026356257
D_46_mean_12,0.0025535896
D_44_max_6,0.0025345322
D_48_latest,0.002521648
D_44_latest,0.0024482105
R_1_max_12,0.0023802742
D_42_min_12,0.0023263404
B_3_latest,0.0022984815
S_3_mean_6,0.0022560037
S_3_max_12,0.0022525708
D_51_mean_12,0.002193767
B_7_latest,0.0021789449
B_38_2.0_RespRate_12,0.0021750443
B_1_max_6,0.0021552376
D_44_mean_6,0.0021226448
D_44_max_12,0.0020413734
D_56_latest,0.0020387175
B_39_latest,0.0020376858
D_50_max_6,0.001998186
B_16_latest,0.0019865965
R_26_max_12,0.0019580668
D_75_latest,0.001954221
B_4_latest,0.0019064224
S_8_mean_12,0.0018767624
D_43_max_6,0.001864252
D_120_0.0_RespRate_12,0.0018400538
D_132_latest,0.0018208376
R_27_max_12,0.0017899784
D_45_max_12,0.001774296
D_131_latest,0.0017655813
D_49_min_12,0.0016903182
B_7_mean_6,0.0016826779
R_3_latest,0.0016809508
D_46_latest,0.0016433771
D_49_latest,0.0016306522
R_26_latest,0.0016287923
D_50_mean_12,0.001560406
D_42_max_6,0.0015488087
B_4_max_12,0.0015175102
R_3_max_6,0.0014979227
D_46_mean_6,0.0014689263
B_4_mean_6,0.0014657032
D_47_max_6,0.001462891
D_62_min_12,0.0014566251
R_11_mean_12,0.0014404953
D_110_max_12,0.0014402175
S_12_mean_12,0.0014350156
D_59_max_12,0.0014232578
D_52_mean_12,0.0014038637
D_56_max_6,0.0013920134
B_18_max_6,0.0013888951
S_3_latest,0.0013815362
D_43_latest,0.0013772992
D_59_mean_6,0.0013641628
D_43_mean_12,0.0013606581
B_17_latest,0.0013444453
D_64_O_RespRate_6,0.0013420833
D_63_CO_RespRate_6,0.001325612
B_5_mean_6,0.0013224041
D_58_mean_6,0.0013160796
B_3_mean_6,0.0013120732
D_46_max_6,0.0013109259
B_3_max_12,0.0012977435
B_4_max_6,0.0012960825
S_24_latest,0.0012894964
B_29_mean_12,0.0012600467
B_28_min_12,0.0012498365
D_70_max_6,0.0012477804
S_16_max_12,0.0012460625
S_8_max_12,0.0012310472
D_75_max_12,0.001216822
P_3_mean_12,0.0012163523
D_66_nan_RespRate_12,0.0012044596
D_82_mean_12,0.0012042437
D_79_min_6,0.0012034568
D_132_max_6,0.0011956389
D_129_max_6,0.001191255
D_65_max_6,0.001179492
S_26_max_12,0.0011749718
B_4_mean_12,0.0011667387
S_9_min_12,0.0011664103
D_77_max_6,0.0011630597
D_68_2.0_latest,0.0011510957
B_14_latest,0.001148969
B_2_mean_6,0.0011444153
B_28_mean_12,0.0011383501
D_52_max_12,0.0011308091
D_65_latest,0.0011272256
B_37_max_6,0.0011165565
D_129_latest,0.001113502
S_8_mean_6,0.0011032043
D_63_XM_RespRate_12,0.0011022959
D_50_max_12,0.0010978252
B_7_max_6,0.0010926513
D_48_mean_12,0.0010916741
D_132_min_12,0.0010910259
D_79_latest,0.0010896185
D_117_1.0_RespRate_12,0.0010882729
S_11_mean_12,0.0010828964
S_6_mean_6,0.0010739809
D_49_mean_12,0.0010658707
D_110_latest,0.0010593538
S_3_max_6,0.00105842
S_7_max_12,0.0010562848
B_11_max_6,0.001053352
D_124_min_12,0.0010517011
P_3_min_6,0.0010506348
D_113_min_6,0.0010478104
D_114_0.0_latest,0.0010470118
D_39_max_12,0.0010388487
D_41_mean_12,0.0010233466
R_3_min_12,0.0010216148
D_47_mean_6,0.0010210612
D_110_mean_6,0.0010181024
S_9_mean_12,0.0010133645
S_15_mean_12,0.001012694
D_122_mean_12,0.0010082931
D_68_6.0_RespRate_6,0.0010009082
S_15_max_6,0.0009977946
P_2_max_12,0.0009971728
B_10_latest,0.0009969296
S_12_latest,0.0009931982
S_7_latest,0.000991747
S_11_latest,0.0009900136
D_64_O_RespRate_12,0.0009834738
B_5_latest,0.0009805084
S_3_min_12,0.0009801964
B_36_mean_12,0.000976042
R_26_mean_6,0.0009750301
D_114_0.0_RespRate_12,0.0009728661
D_68_5.0_RespRate_12,0.00096925
B_29_min_12,0.0009690786
S_12_max_12,0.00096879195
D_66_1.0_RespRate_12,0.0009592743
D_49_mean_6,0.0009555967
R_25_mean_12,0.0009541624
D_136_mean_6,0.00095393596
