Trees,LR,Subsample,% Features,Weight of Default,AUC Train,AUC Test 1,AUC Test 2
50.0,0.01,0.5,0.5,1.0,0.9438389462905663,0.9418552520194883,0.9408500304479073
50.0,0.01,0.5,0.5,5.0,0.9417369918654159,0.9400439074267563,0.9388830729550447
50.0,0.01,0.5,0.5,10.0,0.9411853489275837,0.9398364416812226,0.9382484050253208
50.0,0.01,0.5,1.0,1.0,0.9414679223498121,0.9395288882735606,0.9378366889095711
50.0,0.01,0.5,1.0,5.0,0.9389762270523144,0.9370136790990622,0.9355357116777904
50.0,0.01,0.5,1.0,10.0,0.9384186327667058,0.936855945923722,0.9350760749593842
50.0,0.01,0.8,0.5,1.0,0.9436022211115862,0.9414951301092573,0.9404692933076119
50.0,0.01,0.8,0.5,5.0,0.9417961814171001,0.9400409331562162,0.938794810534799
50.0,0.01,0.8,0.5,10.0,0.9411417757886826,0.9397763199148633,0.9382778212221029
50.0,0.01,0.8,1.0,1.0,0.940947792973482,0.9391013265080603,0.9375962007827059
50.0,0.01,0.8,1.0,5.0,0.9385964351566551,0.9366244508389877,0.9348888734362809
50.0,0.01,0.8,1.0,10.0,0.9380667518664239,0.9365301872135916,0.9349017767327538
50.0,0.1,0.5,0.5,1.0,0.9498113753032457,0.9459849782460469,0.9450515401640204
50.0,0.1,0.5,0.5,5.0,0.9492414991380262,0.9457278767670348,0.9446610252845973
50.0,0.1,0.5,0.5,10.0,0.9492087997530134,0.9452465152892999,0.9445606617020645
50.0,0.1,0.5,1.0,1.0,0.9504435691298395,0.9462902629078084,0.9450320814950631
50.0,0.1,0.5,1.0,5.0,0.950133620778138,0.946088870207703,0.9448970601837408
50.0,0.1,0.5,1.0,10.0,0.949805133692296,0.9460927575101299,0.9449630426354787
50.0,0.1,0.8,0.5,1.0,0.9501295088223745,0.9461984063664772,0.9449940077810335
50.0,0.1,0.8,0.5,5.0,0.9495323790411748,0.9459343326439666,0.9447404642287983
50.0,0.1,0.8,0.5,10.0,0.949343745452332,0.9458012374957516,0.9447613750372301
50.0,0.1,0.8,1.0,1.0,0.9506535532582239,0.9464303026318891,0.9453185263788189
50.0,0.1,0.8,1.0,5.0,0.9502352509977432,0.9459062638303579,0.9450045185048485
50.0,0.1,0.8,1.0,10.0,0.9499250085719733,0.9459307911869514,0.944994671616222
100.0,0.01,0.5,0.5,1.0,0.9449548176471473,0.9427993961594447,0.9417755826592087
100.0,0.01,0.5,0.5,5.0,0.9431187220585175,0.9412809964641871,0.940150375819228
100.0,0.01,0.5,0.5,10.0,0.9425581991000598,0.9408807011509404,0.9394522563094215
100.0,0.01,0.5,1.0,1.0,0.9439142953075789,0.941915387619664,0.9402103975841711
100.0,0.01,0.5,1.0,5.0,0.9420817610003773,0.9402456459722733,0.9383354089246887
100.0,0.01,0.5,1.0,10.0,0.9412087014573268,0.9395006534541545,0.9374727965871791
100.0,0.01,0.8,0.5,1.0,0.944874904448158,0.9424393295844797,0.9415442775857819
100.0,0.01,0.8,0.5,5.0,0.9431941015626905,0.9412296868389166,0.9399773776031745
